['0.915', '0.780', '0.830', '0.772', '0.853', '0.770', '0.916']
['0.916', '0.524', '0.524', '0.911', '0.915', '0.915', '0.915']
['0.916', '0.916', '0.916', '0.916', '0.912', '0.916', '0.916']
['0.916', '0.916', '0.916', '0.916', '0.916', '0.916', '0.916']
['0.916', '0.916', '0.916', '0.916', '0.916', '0.916', '0.916']
['0.916', '0.916', '0.916', '0.916', '0.916', '0.916', '0.916']
['0.916', '0.916', '0.916', '0.916', '0.916', '0.916', '0.916']
['0.916', '0.916', '0.916', '0.920', '0.916', '0.912', '0.916']
['0.920', '0.916', '0.916', '0.912', '0.913', '0.916', '0.854']
['0.920', '0.920', '0.920', '0.920', '0.920', '0.920', '0.920']
['0.920', '0.920', '0.920', '0.845', '0.920', '0.920', '0.920']
['0.920', '0.925', '0.920', '0.920', '0.920', '0.845', '0.920']
['0.925', '0.906', '0.920', '0.906', '0.927', '0.920', '0.920']
['0.927', '0.901', '0.925', '0.925', '0.925', '0.925', '0.892']
['0.927', '0.912', '0.927', '0.927', '0.927', '0.927', '0.927']
['0.927', '0.927', '0.848', '0.927', '0.848', '0.927', '0.920']
['0.927', '0.916', '0.920', '0.927', '0.912', '0.925', '0.927']
['0.927', '0.927', '0.927', '0.927', '0.927', '0.927', '0.927']
['0.927', '0.911', '0.927', '0.927', '0.927', '0.912', '0.911']
['0.927', '0.925', '0.917', '0.927', '0.927', '0.927', '0.912']
['0.927', '0.927', '0.927', '0.927', '0.916', '0.927', '0.927']
