['0.455', '0.333', '0.404', '0.414', '0.434', '0.384', '0.414']
['0.455', '0.455', '0.455', '0.455', '0.455', '0.455', '0.455']
['0.455', '0.455', '0.455', '0.455', '0.455', '0.455', '0.455']
['0.455', '0.495', '0.455', '0.455', '0.455', '0.455', '0.455']
['0.495', '0.455', '0.455', '0.333', '0.455', '0.455', '0.455']
['0.495', '0.495', '0.495', '0.495', '0.495', '0.495', '0.495']
['0.495', '0.495', '0.495', '0.495', '0.495', '0.455', '0.495']
['0.495', '0.455', '0.495', '0.495', '0.495', '0.495', '0.495']
['0.495', '0.495', '0.495', '0.495', '0.495', '0.495', '0.495']
['0.495', '0.485', '0.495', '0.495', '0.495', '0.495', '0.495']
['0.495', '0.495', '0.495', '0.495', '0.495', '0.495', '0.495']
['0.495', '0.495', '0.495', '0.495', '0.495', '0.485', '0.485']
['0.495', '0.495', '0.495', '0.455', '0.455', '0.495', '0.495']
['0.495', '0.495', '0.485', '0.485', '0.394', '0.495', '0.495']
['0.495', '0.495', '0.495', '0.495', '0.485', '0.495', '0.495']
['0.495', '0.485', '0.485', '0.485', '0.495', '0.495', '0.495']
['0.495', '0.495', '0.485', '0.495', '0.495', '0.485', '0.495']
['0.495', '0.485', '0.485', '0.495', '0.495', '0.495', '0.485']
['0.495', '0.495', '0.495', '0.495', '0.495', '0.485', '0.495']
['0.495', '0.394', '0.485', '0.495', '0.394', '0.485', '0.495']
['0.495', '0.485', '0.485', '0.495', '0.394', '0.495', '0.495']
['0.495', '0.455', '0.455', '0.485', '0.394', '0.485', '0.495']
['0.495', '0.455', '0.485', '0.485', '0.485', '0.495', '0.394']
['0.495', '0.485', '0.485', '0.485', '0.485', '0.485', '0.495']
['0.495', '0.485', '0.455', '0.495', '0.455', '0.485', '0.455']
['0.495', '0.394', '0.455', '0.495', '0.455', '0.485', '0.455']
['0.495', '0.495', '0.495', '0.495', '0.495', '0.495', '0.485']
['0.495', '0.394', '0.394', '0.414', '0.374', '0.495', '0.414']
['0.495', '0.495', '0.404', '0.404', '0.495', '0.495', '0.404']
['0.495', '0.485', '0.485', '0.485', '0.394', '0.495', '0.485']
['0.495', '0.495', '0.485', '0.404', '0.495', '0.394', '0.333']
