['0.820', '0.820', '0.840', '0.800', '0.820', '0.800']
['0.820', '0.820', '0.820', '0.820', '0.840', '0.820']
['0.820', '0.820', '0.820', '0.860', '0.840', '0.840']
['0.820', '0.820', '0.820', '0.820', '0.840', '0.840']
['0.820', '0.820', '0.820', '0.820', '0.860', '0.840']
['0.820', '0.820', '0.820', '0.840', '0.820', '0.820']
['0.820', '0.840', '0.840', '0.820', '0.820', '0.820']
['0.820', '0.820', '0.820', '0.820', '0.840', '0.860']
['0.860', '0.840', '0.820', '0.840', '0.840', '0.860']
['0.820', '0.820', '0.800', '0.800', '0.840', '0.840']
['0.860', '0.820', '0.820', '0.820', '0.820', '0.820']
['0.860', '0.860', '0.860', '0.840', '0.860', '0.860']
['0.860', '0.840', '0.860', '0.840', '0.860', '0.860']
['0.860', '0.840', '0.860', '0.840', '0.860', '0.820']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.840', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.840', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.820']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.840', '0.860', '0.860', '0.840']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.820', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.840']
['0.860', '0.860', '0.860', '0.860', '0.840', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.820', '0.860', '0.840', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.840', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.820']
['0.860', '0.860', '0.860', '0.840', '0.860', '0.820']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.840', '0.860']
['0.860', '0.860', '0.840', '0.860', '0.860', '0.840']
['0.860', '0.860', '0.860', '0.820', '0.860', '0.860']
['0.860', '0.860', '0.820', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.820']
['0.860', '0.860', '0.860', '0.860', '0.840', '0.860']
['0.860', '0.820', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.840', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.840', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.820', '0.860', '0.860', '0.860']
['0.820', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.840', '0.820', '0.820', '0.820', '0.820', '0.860']
['0.840', '0.840', '0.840', '0.840', '0.840', '0.840']
['0.840', '0.840', '0.840', '0.840', '0.840', '0.840']
['0.840', '0.840', '0.840', '0.840', '0.840', '0.840']
['0.840', '0.840', '0.840', '0.840', '0.840', '0.840']
['0.840', '0.840', '0.840', '0.840', '0.840', '0.840']
['0.840', '0.840', '0.840', '0.840', '0.840', '0.800']
['0.800', '0.820', '0.840', '0.840', '0.840', '0.840']
['0.800', '0.780', '0.800', '0.800', '0.800', '0.800']
['0.800', '0.800', '0.800', '0.800', '0.800', '0.800']
['0.800', '0.800', '0.780', '0.800', '0.800', '0.800']
['0.800', '0.800', '0.800', '0.800', '0.800', '0.800']
['0.800', '0.800', '0.800', '0.800', '0.800', '0.800']
['0.800', '0.800', '0.800', '0.800', '0.820', '0.800']
['0.800', '0.800', '0.800', '0.800', '0.800', '0.800']
['0.800', '0.800', '0.800', '0.800', '0.840', '0.800']
['0.800', '0.800', '0.840', '0.800', '0.800', '0.800']
['0.800', '0.800', '0.800', '0.800', '0.780', '0.800']
['0.780', '0.840', '0.800', '0.800', '0.800', '0.800']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.800', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.800', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.860', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.800']
['0.780', '0.780', '0.780', '0.800', '0.780', '0.780']
['0.780', '0.780', '0.800', '0.860', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.840']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.780', '0.780', '0.780', '0.780', '0.780', '0.780']
['0.860', '0.780', '0.800', '0.780', '0.780', '0.780']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.860', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.880', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.880', '0.800', '0.880', '0.880', '0.880', '0.820']
['0.860', '0.800', '0.880', '0.880', '0.880', '0.880']
['0.820', '0.860', '0.860', '0.860', '0.860', '0.860']
['0.840', '0.820', '0.820', '0.820', '0.820', '0.820']
['0.840', '0.840', '0.840', '0.840', '0.840', '0.840']
